amfi_code,date,nav,daily_return,rolling_mean,rolling_std,rolling_sharpe
102886,2022-01-03,119.2905,,,,
102886,2022-01-04,120.6402,0.011314396368528934,,,
102886,2022-01-05,121.458,0.00677883491572473,,,
102886,2022-01-06,125.2386,0.03112680926740108,,,
102886,2022-01-07,124.1321,-0.008835135493370339,,,
102886,2022-01-10,124.0425,-0.0007218116828764387,,,
102886,2022-01-11,122.602,-0.011612955237116362,,,
102886,2022-01-12,121.2644,-0.010910099345850854,,,
102886,2022-01-13,121.9075,0.005303287692018488,,,
102886,2022-01-14,122.2902,0.0031392654266555464,,,
102886,2022-01-17,123.1684,0.007181278630667087,,,
102886,2022-01-18,124.0206,0.006918982466281864,,,
102886,2022-01-19,123.7548,-0.00214319234062732,,,
102886,2022-01-20,123.4793,-0.002226176277607128,,,
102886,2022-01-21,122.1352,-0.010885225296871637,,,
102886,2022-01-24,121.1963,-0.0076873825072543145,,,
102886,2022-01-25,121.1957,-4.950646182999563e-06,,,
102886,2022-01-26,121.5638,0.003037236469610738,,,
102886,2022-01-27,122.6851,0.009223963054791007,,,
102886,2022-01-28,123.6658,0.007993635738977156,,,
102886,2022-01-31,126.0772,0.019499328027635876,,,
102886,2022-02-01,124.702,-0.010907602643459802,,,
102886,2022-02-02,124.4392,-0.0021074240990521798,,,
102886,2022-02-03,123.2107,-0.009872291046551185,,,
102886,2022-02-04,125.1932,0.016090323324191802,,,
102886,2022-02-07,124.5265,-0.00532536910950443,,,
102886,2022-02-08,126.3452,0.014604923450028728,,,
102886,2022-02-09,128.6481,0.018227047802370056,,,
102886,2022-02-10,129.3735,0.005638637492508591,,,
102886,2022-02-11,129.9157,0.004190966465311474,,,
102886,2022-02-14,130.0635,0.001137660806199925,,,
102886,2022-02-15,129.6583,-0.0031154013231998734,,,
102886,2022-02-16,129.0683,-0.004550422148061561,,,
102886,2022-02-17,128.9277,-0.001089345718507273,,,
102886,2022-02-18,131.8628,0.02276547243144811,,,
102886,2022-02-21,130.3166,-0.011725824114155015,,,
102886,2022-02-22,130.7243,0.00312853466097196,,,
102886,2022-02-23,131.931,0.009230877503264567,,,
102886,2022-02-24,131.5714,-0.0027256672048268094,,,
102886,2022-02-25,132.3175,0.00567068527050707,,,
102886,2022-02-28,130.0437,-0.0171844238290475,,,
102886,2022-03-01,132.2117,0.01667131894893803,,,
102886,2022-03-02,134.1043,0.014314920691587796,,,
102886,2022-03-03,134.0368,-0.0005033395648014194,,,
102886,2022-03-04,132.7222,-0.00980775428837466,,,
102886,2022-03-07,134.0781,0.010216075381511258,,,
102886,2022-03-08,132.3375,-0.012981985872413171,,,
102886,2022-03-09,130.844,-0.01128553886842365,,,
102886,2022-03-10,130.8484,3.3627831616200865e-05,,,
102886,2022-03-11,133.3374,0.019022013261148052,,,
102886,2022-03-14,134.4543,0.008376494516917132,,,
102886,2022-03-15,133.5072,-0.007044029086462622,,,
102886,2022-03-16,130.9345,-0.019270121761223336,,,
102886,2022-03-17,131.088,0.0011723418961386844,,,
102886,2022-03-18,131.5718,0.003690650555352226,,,
102886,2022-03-21,131.5459,-0.00019685069292973978,,,
102886,2022-03-22,134.5117,0.02254574258870856,,,
102886,2022-03-23,134.3901,-0.000904010580492276,,,
102886,2022-03-24,130.8572,-0.02628839475526834,,,
102886,2022-03-25,130.309,-0.004189299480655273,,,
102886,2022-03-28,131.1084,0.00613464918002582,,,
102886,2022-03-29,131.8059,0.005320025261539518,,,
102886,2022-03-30,131.6162,-0.0014392375455121176,,,
102886,2022-03-31,131.1666,-0.0034159928641003257,,,
102886,2022-04-01,128.1511,-0.022989846500557132,,,
102886,2022-04-04,128.3693,0.001702677542369857,,,
102886,2022-04-05,127.9363,-0.0033730806353232667,,,
102886,2022-04-06,128.4052,0.003665105212516062,,,
102886,2022-04-07,129.2496,0.006576057667446289,,,
102886,2022-04-08,131.2724,0.015650338569713318,,,
102886,2022-04-11,129.8671,-0.01070522059473289,,,
102886,2022-04-12,127.9576,-0.01470349303249241,,,
102886,2022-04-13,127.1673,-0.0061762646376611885,,,
102886,2022-04-14,126.1377,-0.00809642101389274,,,
102886,2022-04-15,124.982,-0.009162209236413865,,,
102886,2022-04-18,127.248,0.018130610807956415,,,
102886,2022-04-19,127.5603,0.002454262542436858,,,
102886,2022-04-20,130.6956,0.024578963831223488,,,
102886,2022-04-21,130.779,0.0006381240072350636,,,
102886,2022-04-22,129.0445,-0.013262832717791051,,,
102886,2022-04-25,127.8885,-0.00895815009550971,,,
102886,2022-04-26,129.5537,0.013020717265430415,,,
102886,2022-04-27,127.8936,-0.012813991418230364,,,
102886,2022-04-28,128.8373,0.007378789869078695,,,
102886,2022-04-29,128.375,-0.0035882465714509593,,,
102886,2022-05-02,127.0399,-0.010399999999999965,,,
102886,2022-05-03,129.2529,0.017419724039455353,,,
102886,2022-05-04,128.4322,-0.00634956739848791,,,
102886,2022-05-05,127.2521,-0.009188505686268722,,,
102886,2022-05-06,127.2178,-0.0002695436853301647,,,
102886,2022-05-09,126.5316,-0.005393899281389891,0.0007169650089236411,0.011209675311993475,1.01532527547035
102886,2022-05-10,130.0186,0.02755833325430168,0.0008974531965433383,0.011508999259769443,1.237868515470499
102886,2022-05-11,131.7681,0.013455767097938276,0.0009716413319012666,0.011568702422325751,1.3332807261778499
102886,2022-05-12,130.9281,-0.0063748357910602405,0.0005549563868072519,0.011137705037909307,0.7909761928411976
102886,2022-05-13,130.2732,-0.005001982003863148,0.0005975469811351096,0.011108685044905699,0.8539052294866779
102886,2022-05-16,127.248,-0.02322196737318183,0.0003475452512428275,0.011388373779765516,0.4844510666292423
102886,2022-05-17,127.5434,0.002321451024770438,0.0005023719874860141,0.011318447414753772,0.7045938170639959
102886,2022-05-18,126.4934,-0.008232491841992706,0.0005321231819733269,0.011291599293345769,0.7480954131183835
102886,2022-05-19,126.7122,0.0017297345157929467,0.0004924170355708209,0.01128091132546216,0.6929296649171194
102886,2022-05-20,123.8484,-0.022600822967322798,0.00020641605341550597,0.01153644820348281,0.28403484381821104
102886,2022-05-23,123.8923,0.00035446562087204647,0.0001305625755288944,0.011512491056829877,0.18003198630583567
102886,2022-05-24,126.5223,0.0212281150644551,0.00028955293773081926,0.011704499347064983,0.39271311411505466
102886,2022-05-25,126.6898,0.0013238772927777198,0.0003280759336575419,0.011702107827655739,0.445051786081722
102886,2022-05-26,125.6052,-0.00856106805757062,0.0002576882472135031,0.01173664526052696,0.34853861701215866
102886,2022-05-27,125.6592,0.000429918506558602,0.0003834120672516169,0.011676390032674297,0.5212636663062624
102886,2022-05-30,125.6473,-9.470058698446415e-05,0.00046777519969905967,0.011644808756870042,0.6376833868519151
102886,2022-05-31,129.0742,0.027273964502221526,0.0007708742569035544,0.011982487183112317,1.0212612179930276
102886,2022-06-01,128.6478,-0.0033035261888123557,0.0007004213384766312,0.011987651668802172,0.9275247858902785
102886,2022-06-02,126.8938,-0.013634123552831778,0.0004464425983919335,0.01204703352044823,0.5882822960552
102886,2022-06-03,127.0121,0.0009322756509775321,0.00036798304185860437,0.012020292934923531,0.4859739878476426
102886,2022-06-06,127.3956,0.0030193973645029626,0.00018487270115712754,0.01184989752513848,0.24766147914556239
102886,2022-06-07,128.3424,0.007431967823064545,0.0003886457063407314,0.011814638900821916,0.5221961817313335
102886,2022-06-08,129.596,0.00976762161218736,0.0005205906586878374,0.011852698261987427,0.6972353740761004
102886,2022-06-09,132.7546,0.024372665823019224,0.0009010901794608419,0.01206311766856067,1.1857932198950727
102886,2022-06-10,131.9004,-0.0064344286375012105,0.0006508151576642529,0.011977804169254508,0.8625429330715507
102886,2022-06-13,130.9093,-0.007514002990134938,0.000626497003435025,0.011992286755754209,0.829310690434041
102886,2022-06-14,128.1226,-0.021287257666185666,0.00022769499103264288,0.012118345350492277,0.298270582471715
102886,2022-06-15,129.2284,0.008630795815882442,0.00012106996896055828,0.011999833505527437,0.1601627367381713
102886,2022-06-16,127.9495,-0.009896431434576303,-5.1541908007051655e-05,0.012031265270054969,-0.06800634893680026
102886,2022-06-17,129.4097,0.011412315014908136,2.8695298099577926e-05,0.012083841626892418,0.0376969302871633
102886,2022-06-20,128.7373,-0.005195901080057963,-4.167761174773194e-05,0.012095747337421903,-0.054697866703508125
102886,2022-06-21,131.5131,0.021561738517119844,0.00023251283092248713,0.012303204022266449,0.3000053284359916
